name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
rajat21,411676,411676,1893370,4.599175079,1,118689,188.7726632,1.12E-05,2.43E-06,0.2883068238,0.0004585466804,32,1,32,0.309484,8.561459,27.6637
bloweya,30004,30004,150009,4.999633382,2,10001,57.76292893,0.0001666322284,6.67E-05,0.3333222237,0.001925174275,32,1,32,0.0246067,0.666399,27.082
rajat13,7598,7598,48922,6.438799684,1,5412,69.14659061,0.0008474334936,0.0001316135825,0.7122927086,0.009100630509,32,1,16,0.0119808,0.311142,25.9701
boyd2,466316,466316,1500397,3.217554191,2,93262,194.9120709,6.90E-06,4.29E-06,0.1999974266,0.0004179828075,32,1,64,0.32086,8.092171,25.2203
shermanACd,6136,6136,53329,8.691166884,1,5181,67.91661206,0.001416422243,0.0001629726206,0.8443611473,0.01106854825,32,1,16,0.011264,0.283351,25.1555
bloweybl,30003,30003,120000,3.99960004,1,10001,57.72925832,0.0001333066707,3.33E-05,0.3333333333,0.001924116199,32,1,16,0.0250982,0.627405,24.998
TSOPF_RS_b39_c19,38098,38098,684206,17.95910546,2,32,13.99598561,0.0004713923425,5.25E-05,0.0008399391044,0.0003673679881,32,1,64,0.0607949,1.499761,24.6692
lowThrust_9,18044,18044,219589,12.16964088,2,7016,73.86696198,0.0006744425226,0.0001108401685,0.388827311,0.004093713255,32,1,32,0.0227328,0.557312,24.5158
lowThrust_7,17378,17378,211561,12.17407066,2,6757,72.49062962,0.0007005449801,0.0001150880424,0.3888249511,0.004171402326,32,1,32,0.0223027,0.539095,24.1717
lowThrust_12,18458,18458,224593,12.16778633,2,7177,74.70972881,0.0006592147755,0.0001083541012,0.3888286922,0.004047552758,32,1,32,0.0239514,0.514724,21.4904
iprob,3001,3001,9000,2.999000333,2,3000,54.71750175,0.0009993336665,0.0006664445185,0.9996667777,0.01823308955,32,1,8,0.00878592,0.183429,20.8776
Sieber,2290,2290,14873,6.494759825,4,2289,67.47075199,0.002836139662,0.001746724891,0.9995633188,0.02946321048,32,1,16,0.00720896,0.14633,20.2984
TSOPF_RS_b9_c6,7224,7224,54082,7.486434109,2,11,3.499340836,0.001036328088,0.000276854928,0.001522702104,0.0004844048777,32,1,16,0.0118477,0.234506,19.7934
lowThrust_4,13562,13562,160947,11.86749742,2,5273,64.03090548,0.0008750551113,0.0001474708745,0.3888069606,0.004721346813,32,1,32,0.0187904,0.371794,19.7864
reorientation_8,3108,3108,37894,12.19240669,1,2920,52.46577281,0.003922910776,0.0003217503218,0.9395109395,0.01688087928,32,1,8,0.00928768,0.182733,19.6748
circuit_1,2624,2624,35823,13.65205793,1,2571,72.86616252,0.005202765978,0.000381097561,0.9798018293,0.02776911681,32,1,16,0.00822272,0.161679,19.6625
lowThrust_11,18368,18368,223801,12.18428789,2,7142,74.52758635,0.0006633431997,0.0001088850174,0.3888283972,0.004057468769,32,1,32,0.0232653,0.450273,19.3538
TSOPF_RS_b39_c7,14098,14098,252446,17.90651156,2,32,13.98838964,0.001270145521,0.0001418640942,0.002269825507,0.0009922251131,32,1,32,0.0274022,0.524482,19.1401
TSOPF_FS_b39_c30,120216,120216,3121160,25.96293339,1,60024,548.1836873,0.000215969034,8.32E-06,0.4993012577,0.004559989413,32,1,128,0.275988,5.138258,18.6177
reorientation_6,3006,3006,37342,12.42248836,1,2824,51.6108624,0.004132564324,0.0003326679973,0.9394544245,0.01716928224,32,1,8,0.00974848,0.177797,18.2384
c-57,37833,37833,405197,10.71014723,2,10402,134.8803999,0.0002830900861,5.29E-05,0.2749451537,0.003565152112,32,1,64,0.0413286,0.751626,18.1866
reorientation_5,2904,2904,35590,12.25550964,1,2728,50.7183535,0.004220216819,0.0003443526171,0.9393939394,0.01746499776,32,1,8,0.00956416,0.171509,17.9325
lowThrust_6,16928,16928,207349,12.2488776,2,6582,71.54698927,0.0007235868147,0.000118147448,0.3888232514,0.004226547097,32,1,32,0.0225178,0.403005,17.8972
Raj1,263743,263743,1302464,4.938383199,1,40468,88.29154131,1.87E-05,3.79E-06,0.1534372476,0.0003347635437,32,1,16,0.192307,3.373619,17.5429
shermanACa,3432,3432,25220,7.348484848,1,2498,43.33061633,0.002141166914,0.0002913752914,0.7278554779,0.01262547096,32,1,8,0.00917504,0.160512,17.4944
lowThrust_13,18476,18476,224897,12.1723858,2,7184,74.74627283,0.0006588214872,0.0001082485386,0.3888287508,0.004045587401,32,1,32,0.0230912,0.400722,17.3539
lowThrust_8,17702,17702,216445,12.22714947,2,6883,73.16439332,0.0006907213577,0.000112981584,0.3888261213,0.004133114525,32,1,32,0.0228966,0.395479,17.2724
spaceShuttleEntry_4,2450,2450,39669,16.19142857,2,2272,45.86797923,0.006608746356,0.0008163265306,0.9273469388,0.01872162417,32,1,16,0.00837632,0.143677,17.1528
lowThrust_10,18260,18260,222005,12.15799562,2,7100,74.30755969,0.0006658267042,0.0001095290252,0.3888280394,0.004069417289,32,1,32,0.0236851,0.404931,17.0964
c-73b,169422,169422,1279274,7.550813944,2,39937,151.4940063,4.46E-05,1.18E-05,0.2357249944,0.0008941814304,32,1,64,0.158638,2.687263,16.9396
a5esindl,60008,60008,255004,4.249500067,3,9993,53.97269187,7.08E-05,5.00E-05,0.1665277963,0.0008994249412,32,1,32,0.0528794,0.888576,16.8038
reorientation_4,2717,2717,33630,12.37762238,1,2552,49.06989359,0.004555621044,0.0003680529996,0.9392712551,0.01806032153,32,1,8,0.00919552,0.154368,16.7873
lowThrust_5,16262,16262,198369,12.19831509,2,6323,70.12432317,0.0007501116154,0.0001229861026,0.3888205633,0.004312158601,32,1,32,0.0218726,0.357417,16.3409
Oregon-1,11492,11492,46818,4.073964497,0,2389,32.64094599,0.0003545043941,0,0.2078837452,0.002840319003,32,1,8,0.0106291,0.17281,16.2582
c-73,169422,169422,1279274,7.550813944,2,39937,151.4940063,4.46E-05,1.18E-05,0.2357249944,0.0008941814304,32,1,64,0.158618,2.549002,16.0701
TSOPF_FS_b39_c19,76216,76216,1977600,25.94730765,1,38024,436.1508493,0.0003404443641,1.31E-05,0.4988978692,0.005722562839,32,1,32,0.201185,3.204024,15.9258
reorientation_3,2513,2513,32166,12.79984083,1,2360,47.20950217,0.005093450389,0.00039793076,0.9391165937,0.01878611308,32,1,8,0.00863232,0.137103,15.8825
reorientation_7,3057,3057,37150,12.15243703,1,2872,52.03329551,0.003975281986,0.0003271180896,0.9394831534,0.01702103222,32,1,8,0.00982016,0.15318,15.5985
case39,40216,40216,1042160,25.91406405,1,20024,316.2263181,0.0006443719926,2.49E-05,0.4979112791,0.007863196691,32,1,64,0.091392,1.421855,15.5578
kineticBatchReactor_5,7641,7641,80767,10.57021332,1,2636,50.80047189,0.001383354708,0.0001308729224,0.3449810234,0.006648406215,32,1,16,0.0125338,0.187935,14.9943
kineticBatchReactor_9,8115,8115,86183,10.62020949,1,2720,52.18774757,0.001308713431,0.000123228589,0.3351817622,0.006431022498,32,1,16,0.0130253,0.191355,14.691
nxp1,414604,414604,2656177,6.406539734,1,53699,84.66719068,1.55E-05,2.41E-06,0.1295187697,0.0002042121897,32,1,16,0.33492,4.793559,14.3125
TSOPF_FS_b39_c7,28216,28216,730080,25.87468103,1,14024,264.4360371,0.0009170215846,3.54E-05,0.4970229657,0.009371847077,32,1,64,0.06784,0.970445,14.3049
TSOPF_RS_b162_c3,15374,15374,610299,39.69682581,3,77,36.40596869,0.00258207531,0.0001951346429,0.005008455835,0.0023680219,32,1,64,0.0438784,0.619131,14.1102
circuit_4,80209,80209,307604,3.835030982,1,6750,30.03122943,4.78E-05,1.25E-05,0.08415514468,0.000374412216,32,1,16,0.0573542,0.804157,14.0209
lowThrust_3,7064,7064,80645,11.41633635,2,2746,46.18438009,0.001616129155,0.0002831257078,0.3887315968,0.006537992651,32,1,16,0.0123597,0.171254,13.8558
spaceShuttleEntry_3,1834,1834,28757,15.67993457,2,1700,39.71907294,0.008549582644,0.001090512541,0.9269356598,0.02165707358,32,1,8,0.00789504,0.108739,13.7731
Oregon-2,11806,11806,65460,5.544638319,0,2432,34.70444653,0.0004696458004,0,0.2059969507,0.002939560099,32,1,8,0.0119706,0.163277,13.6398
kineticBatchReactor_6,7773,7773,82500,10.61366268,1,2678,51.1793712,0.001365452551,0.0001286504567,0.3445259231,0.006584249479,32,1,16,0.0130765,0.171592,13.1222
coupled,11341,11341,98523,8.68732916,1,3090,30.0919428,0.0007660108597,8.82E-05,0.2724627458,0.002653376492,32,1,16,0.0151142,0.197222,13.0488
kineticBatchReactor_7,7968,7968,84508,10.60592369,1,2720,51.77629975,0.001331064721,0.000125502008,0.3413654618,0.006498029587,32,1,16,0.013015,0.1698,13.0465
TSOPF_RS_b162_c4,20374,20374,812749,39.89147934,3,77,36.43069983,0.001957960113,0.0001472464906,0.003779326593,0.001788097567,32,4,32,0.058409,0.746865,12.7868
c-30,5321,5321,65693,12.3459876,2,2110,74.62895001,0.002320238225,0.0003758691975,0.3965420034,0.01402536178,32,1,16,0.0116634,0.148541,12.7357
kineticBatchReactor_4,7105,7105,74869,10.5375088,1,2426,48.54278821,0.001483111724,0.0001407459536,0.3414496833,0.006832201015,32,1,16,0.0126259,0.155259,12.2969
rajat12,1879,1879,12926,6.879191059,1,1195,34.91282824,0.003661091569,0.0005321979776,0.6359765833,0.01858053658,32,1,8,0.00718848,0.087081,12.114
kineticBatchReactor_8,8052,8052,85194,10.5804769,1,2720,51.98612301,0.001314018492,0.0001241927471,0.3378042722,0.00645629943,32,1,16,0.0128922,0.1553,12.046
adder_trans_01,1814,1814,14579,8.03693495,1,1335,33.6748553,0.004430504383,0.0005512679162,0.7359426681,0.01856386731,32,1,8,0.0073216,0.087439,11.9426
email-EuAll,265214,265214,420045,1.583796481,0,930,9.983983721,5.97E-06,0,0.003506602216,3.76E-05,32,1,32,0.0722944,0.857477,11.8609
adder_dcop_62,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00740352,0.08703,11.7552
adder_dcop_61,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.007424,0.08702,11.7214
adder_dcop_33,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00743424,0.087081,11.7135
adder_dcop_68,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00745472,0.087214,11.6992
adder_dcop_12,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00745472,0.087091,11.6827
c-32,5975,5975,54471,9.116485356,2,1986,64.32080544,0.001525771608,0.0003347280335,0.3323849372,0.01076498836,32,1,16,0.0116326,0.135813,11.6752
adder_dcop_32,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00749568,0.087112,11.6216
adder_dcop_30,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00749568,0.087091,11.6188
TSOPF_FS_b9_c1,2454,2454,25032,10.200489,1,1210,42.76572979,0.004156678483,0.0004074979625,0.4930725346,0.01742694775,32,1,8,0.00832512,0.096645,11.6088
adder_dcop_24,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00751616,0.087204,11.6022
circuit_2,4510,4510,21199,4.700443459,1,1274,22.50663513,0.001042226931,0.00022172949,0.2824833703,0.004990384731,32,1,8,0.00769024,0.089108,11.5872
adder_dcop_05,1813,1813,11097,6.120794264,1,1310,30.77725023,0.003376058612,0.0005515719801,0.722559294,0.01697586885,32,1,8,0.00750592,0.086477,11.5212
adder_dcop_03,1813,1813,11148,6.148924435,1,1310,30.77761981,0.003391574426,0.0005515719801,0.722559294,0.0169760727,32,1,8,0.00738304,0.084931,11.5035
adder_dcop_04,1813,1813,11107,6.126309983,1,1310,30.77945027,0.003379100929,0.0005515719801,0.722559294,0.01697708233,32,1,8,0.00744448,0.085473,11.4814
adder_dcop_23,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00751616,0.085831,11.4195
adder_dcop_22,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00763904,0.087183,11.4128
adder_dcop_11,1813,1813,11243,6.201323773,1,1310,30.77720517,0.003420476433,0.0005515719801,0.722559294,0.016975844,32,1,8,0.00761856,0.086354,11.3347
init_adder1,1813,1813,11156,6.15333701,1,1310,30.7773114,0.003394008279,0.0005515719801,0.722559294,0.01697590259,32,1,8,0.00753664,0.084992,11.2772
as-735,7716,7716,26467,3.430145153,0,1459,22.98165515,0.0004445496569,0,0.1890876102,0.002978441569,32,1,8,0.00951296,0.105001,11.0377
hangGlider_2,1647,1647,14754,8.958105647,2,1463,35.92245332,0.005439044108,0.001214329083,0.8882817243,0.02181083991,32,1,8,0.00722944,0.079688,11.0227
adder_trans_02,1814,1814,14579,8.03693495,1,1335,33.6748553,0.004430504383,0.0005512679162,0.7359426681,0.01856386731,32,1,8,0.00709632,0.077292,10.8918
adder_dcop_01,1813,1813,11156,6.15333701,1,1310,30.7773114,0.003394008279,0.0005515719801,0.722559294,0.01697590259,32,1,8,0.00792576,0.085094,10.7364
c-64b,51035,51035,717841,14.06566082,2,9474,153.4732141,0.0002756081282,3.92E-05,0.1856373077,0.003007214933,32,1,64,0.0602317,0.644178,10.695
adder_dcop_28,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00748544,0.079278,10.591
c-64,51035,51035,717841,14.06566082,2,9474,153.4732141,0.0002756081282,3.92E-05,0.1856373077,0.003007214933,32,1,64,0.0614093,0.646011,10.5198
adder_dcop_46,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00739328,0.077609,10.4972
adder_dcop_42,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00738304,0.076882,10.4133
adder_dcop_17,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00741376,0.076954,10.3799
adder_dcop_27,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00741376,0.076902,10.3729
spaceShuttleEntry_2,1428,1428,24073,16.85784314,2,1323,35.01484421,0.01180521228,0.001400560224,0.9264705882,0.02452019903,32,1,16,0.00736256,0.07636,10.3714
adder_dcop_49,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00741376,0.076872,10.3688
adder_dcop_53,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00741376,0.07679,10.3578
adder_dcop_34,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00741376,0.07678,10.3564
adder_dcop_60,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00743424,0.076943,10.3498
adder_dcop_18,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.007424,0.07682,10.3475
adder_dcop_41,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00743424,0.076882,10.3416
adder_dcop_25,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00743424,0.076861,10.3388
adder_dcop_26,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00743424,0.076851,10.3374
adder_dcop_16,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00743424,0.07678,10.3279
adder_dcop_56,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00744448,0.076841,10.3219
adder_dcop_65,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00745472,0.076861,10.3104
as-caida,31379,31379,106762,3.402339144,0,2628,30.69048354,0.0001084272649,0,0.08375027885,0.0009780580497,32,1,16,0.0185651,0.191007,10.2885
adder_dcop_45,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.0074752,0.076841,10.2795
reorientation_2,1544,1544,17910,11.59974093,1,1448,36.94606978,0.007512785578,0.0006476683938,0.9378238342,0.02392880167,32,1,8,0.00765952,0.078684,10.2727
adder_dcop_64,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00754688,0.077527,10.2727
adder_dcop_59,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00749568,0.076974,10.2691
adder_dcop_29,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00748544,0.076861,10.2681
adder_dcop_43,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00748544,0.076831,10.2641
adder_dcop_35,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00749568,0.076913,10.261
adder_dcop_67,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00750592,0.076984,10.2564
adder_dcop_20,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00749568,0.076831,10.25
adder_dcop_58,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00750592,0.076913,10.247
adder_dcop_57,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00750592,0.076861,10.2401
adder_dcop_47,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00750592,0.07682,10.2346
adder_dcop_63,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00751616,0.076831,10.2221
adder_dcop_39,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00751616,0.076749,10.2112
web-BerkStan,685230,685230,7600595,11.09203479,0,249,16.35603227,1.62E-05,0,0.0003633816383,2.39E-05,32,32,64,0.665129,6.78489,10.2009
adder_dcop_36,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00755712,0.077066,10.1978
adder_dcop_51,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00753664,0.076841,10.1957
adder_dcop_21,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00755712,0.077015,10.1911
adder_dcop_15,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00755712,0.07681,10.1639
adder_dcop_02,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00755712,0.07679,10.1613
adder_dcop_50,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00755712,0.076759,10.1572
adder_dcop_07,1813,1813,11226,6.191947049,1,1310,30.77689768,0.003415304495,0.0005515719801,0.722559294,0.0169756744,32,1,8,0.0073728,0.074813,10.1472
adder_dcop_14,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00758784,0.076902,10.1349
adder_dcop_40,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.0075776,0.07679,10.1338
adder_dcop_69,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00758784,0.076861,10.1295
adder_dcop_54,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00758784,0.076831,10.1255
adder_dcop_66,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00759808,0.076902,10.1212
adder_dcop_52,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00759808,0.07681,10.1091
adder_dcop_31,1813,1813,11246,6.202978489,1,1310,30.77714949,0.003421389128,0.0005515719801,0.722559294,0.01697581329,32,1,8,0.00761856,0.07679,10.0793
c-43,11125,11125,123675,11.11685393,2,2620,72.60189993,0.0009992677692,0.0001797752809,0.235505618,0.006526013477,32,1,16,0.0160563,0.161802,10.0772
